ANO_CONVOCATORIA,CODIGO_PROYECTO,TITULO_PROYECTO,FECHA_APROBACION,ANO_APROBACION,ENTIDAD,CONVOCATORIA,DESCRIPCION_FINANCIACION,PROGRAMA,AREA_TEMATICA,TIPO_PROYECTO,DEPARTAMENTO_ENTIDAD,CIUDAD_ENTIDAD,COD_DANE_ENT,DEPARTAMENTO_PROYECTO,CIUDAD_PROYECTO,COD_DANE_PRY
"2,010","111,752,128,880",DIVERSIDAD GEN¿TICA Y CONECTIVIDAD DE LAS ESPECIES CORALINAS AMENAZADAS EN EL CARIBE COLOMBIANO,14/12/2010,"2,010",UNIVERSIDAD DEL MAGDALENA - UNIMAGDALENA,521-2010 Banco de Proyectos de Investigacion Cientifica o Tecnologica - ano 2010,RECUPERACION CONTINGENTE,PROGRAMA NACIONAL DE CIENCIAS DEL MAR Y LOS RECURSOS HIDROBIOLOGICOS,Caracterizacion y valoracion de la biodiversidad,PROYECTO,MAGDALENA,SANTA MARTA,47001,MAGDALENA,SANTA MARTA,47001
"2,010","210,552,128,821",CARACTERIZACION GENETICA PARA LA CONSERVACION DE ALGUNAS TORTUGAS MARINAS EN COLOMBIA,14/12/2010,"2,010",INSTITUTO DE INVESTIGACIONES MARINAS Y COSTERAS DE PUNTA DE BETIN. INVEMAR,521-2010 Banco de Proyectos de Investigacion Cientifica o Tecnologica - ano 2010,RECUPERACION CONTINGENTE,PROGRAMA NACIONAL DE CIENCIAS DEL MAR Y LOS RECURSOS HIDROBIOLOGICOS,Caracterizacion y valoracion de la biodiversidad,PROYECTO,MAGDALENA,SANTA MARTA,47001,VALLE DEL CAUCA,PALMIRA,76520
"2,010","110,152,128,416",Search of microbiological and immunological signatures of white plague disease in reef-building corals in the Colombian Caribbean.,14/12/2010,"2,010",UNIVERSIDAD NACIONAL DE COLOMBIA - SEDE BOGOTA,521-2010 Banco de Proyectos de Investigacion Cientifica o Tecnologica - ano 2010,RECUPERACION CONTINGENTE,PROGRAMA NACIONAL DE CIENCIAS DEL MAR Y LOS RECURSOS HIDROBIOLOGICOS,Autoecologia de organismos,PROYECTO,BOGOTA D. C.,BOGOTA D.C.,11001,BOGOTA D. C.,BOGOTA D.C.,11001
"2,010","121,652,128,897",EROSION COSTERA EN LA REGION DE CARTAGENA (Galerazamba-Bocachica) COSTA CARIBE COLOMBIANA Modulo Oceanografia,14/12/2010,"2,010",UNIVERSIDAD EAFIT,521-2010 Banco de Proyectos de Investigacion Cientifica o Tecnologica - ano 2010,RECUPERACION CONTINGENTE,PROGRAMA NACIONAL DE CIENCIAS DEL MAR Y LOS RECURSOS HIDROBIOLOGICOS,Modelacion,PROYECTO,ANTIOQUIA,MEDELLIN,05001,BOLIVAR,CARTAGENA DE INDIAS,13001
"2,010","110,152,128,139",INCIDENCIA DEL CAMBIO CLIMATICO EN LOS CAMPOS FISICOS Y DINAMICOS DE LAS AGUAS DE LA CUENCA DEL PACIFICO COLOMBIANO,14/12/2010,"2,010",UNIVERSIDAD NACIONAL DE COLOMBIA - SEDE BOGOTA,521-2010 Banco de Proyectos de Investigacion Cientifica o Tecnologica - ano 2010,RECUPERACION CONTINGENTE,PROGRAMA NACIONAL DE CIENCIAS DEL MAR Y LOS RECURSOS HIDROBIOLOGICOS,Modelacion,PROYECTO,BOGOTA D. C.,BOGOTA D.C.,11001,BOGOTA D. C.,BOGOTA D.C.,11001
"2,010","121,652,128,270",EROSION LITORAL EN LA REGION DE CARTAGENA (PUNTA GALERAZAMBA-LA BOQUILLA). Geologia-ecosistemas litorales,14/12/2010,"2,010",UNIVERSIDAD EAFIT,521-2010 Banco de Proyectos de Investigacion Cientifica o Tecnologica - ano 2010,RECUPERACION CONTINGENTE,PROGRAMA NACIONAL DE CIENCIAS DEL MAR Y LOS RECURSOS HIDROBIOLOGICOS,Modelacion,PROYECTO,ANTIOQUIA,MEDELLIN,05001,BOLIVAR,CARTAGENA DE INDIAS,13001
"2,010","210,552,128,417",FORTALECIMIENTO DE CAPACIDADES DE ADMINISTRADORES DE LAS ZONAS COSTERAS HACIA LA REDUCCION DEL RIESGO ASOCIADO AL AUMENTO ACELERADO DEL NIVEL DEL MAR POR CAMBIO CLIMATICO GLOBAL.,14/12/2010,"2,010",INSTITUTO DE INVESTIGACIONES MARINAS Y COSTERAS DE PUNTA DE BETIN. INVEMAR,521-2010 Banco de Proyectos de Investigacion Cientifica o Tecnologica - ano 2010,RECUPERACION CONTINGENTE,PROGRAMA NACIONAL DE CIENCIAS DEL MAR Y LOS RECURSOS HIDROBIOLOGICOS,Informacion,PROYECTO,MAGDALENA,SANTA MARTA,47001,MAGDALENA,SANTA MARTA,47001
"2,010","121,552,128,268",Peligrosidad debido a Tsunamis en el Litoral y Area Insular del Caribe Colombiano,14/12/2010,"2,010",UNIVERSIDAD DEL NORTE - UNINORTE,521-2010 Banco de Proyectos de Investigacion Cientifica o Tecnologica - ano 2010,RECUPERACION CONTINGENTE,PROGRAMA NACIONAL DE CIENCIAS DEL MAR Y LOS RECURSOS HIDROBIOLOGICOS,Informacion,PROYECTO,ATLANTICO,BARRANQUILLA,08001,ATLANTICO,BARRANQUILLA,08001
"2,010","230,852,128,822",DINAMICA DEL BOSQUE TROPICAL CRECIMIENTO Y TASAS DE FIJACION DE CARBONO ENUN GRADIENTE AMBIENTAL COMPLEJO EN COLOMBIA,16/12/2010,"2,010",FUNDACION JARDIN BOTANICO JOAQUIN ANTONIO URIBE,521-2010 Banco de Proyectos de Investigacion Cientifica o Tecnologica - ano 2010,RECUPERACION CONTINGENTE,PROGRAMA NACIONAL DE CIENCIA TECNOLOGIA E INNOVACION EN AMBIENTE BIODIVERSIDAD Y HABITAT,Agua biodiversidad y bosques,PROYECTO,BOGOTA D. C.,BOGOTA D.C.,11001,ANTIOQUIA,MEDELLIN,05001
"2,010","142,352,128,794",Estructura y composicion de Sabethinos (Diptera Culicidae) asociados a ecosistemas cafeteros en la region Andina,16/12/2010,"2,010",TECNOLOGICO DE ANTIOQUIA - TDEA,521-2010 Banco de Proyectos de Investigacion Cientifica o Tecnologica - ano 2010,RECUPERACION CONTINGENTE,PROGRAMA NACIONAL DE CIENCIA TECNOLOGIA E INNOVACION EN AMBIENTE BIODIVERSIDAD Y HABITAT,SOSTENIBILIDAD DE AGROECOSISTEMAS,PROYECTO,ANTIOQUIA,MEDELLIN,05001,ANTIOQUIA,MEDELLIN,05001
"2,010","110,152,128,899",MODELACION FISICA DEL TRANSPORTE REACTIVO MULTIESPECIE EN MEDIOS POROSOS - VALIDACION DE UN MODELO TEORICO,16/12/2010,"2,010",UNIVERSIDAD NACIONAL DE COLOMBIA - SEDE BOGOTA,521-2010 Banco de Proyectos de Investigacion Cientifica o Tecnologica - ano 2010,RECUPERACION CONTINGENTE,PROGRAMA NACIONAL DE CIENCIA TECNOLOGIA E INNOVACION EN AMBIENTE BIODIVERSIDAD Y HABITAT,Uso sostenible de la biodiversidad nativa,PROYECTO,BOGOTA D. C.,BOGOTA D.C.,11001,BOGOTA D. C.,BOGOTA D.C.,11001
"2,010","120,652,128,696",Determinacion de las comunidades de artropodos presentes en el proceso de compostaje de residuos solidos urbanos con separacion en la fuente y su asociacion con la generacion de compuestos organicos volatiles.,16/12/2010,"2,010",UNIVERSIDAD DE MEDELLIN - UDEM,521-2010 Banco de Proyectos de Investigacion Cientifica o Tecnologica - ano 2010,RECUPERACION CONTINGENTE,PROGRAMA NACIONAL DE CIENCIA TECNOLOGIA E INNOVACION EN AMBIENTE BIODIVERSIDAD Y HABITAT,Uso sostenible de la biodiversidad nativa,PROYECTO,ANTIOQUIA,MEDELLIN,05001,ANTIOQUIA,MEDELLIN,05001
